VO_OVOCODE;VO_PG_DEPTIDOVO;VO_PG_DEPTIDtotOVO nieuw (sleutel geldig tot)
OVO049414;1 B 3F EBC;31/03/2007
OVO045644;1 B 3F EBD;31/12/2011
OVO045645;1 B 3F EBE;31/12/2011
OVO045646;1 B 3F EBF;31/12/2011
OVO045647;1 B 3F EBG;31/12/2011
OVO045648;1 B 3F EBH;31/12/2011
OVO045649;1 B 3F EBJ;31/12/2011
OVO045650;1 B 3F EBK;31/12/2011
OVO045651;1 B 3F EBL;31/12/2011
OVO045652;1 B 3F EBM;31/12/2011
OVO045653;1 B 3F EBN;31/12/2011
OVO045654;1 B 3F EBP;31/12/2011
OVO045655;1 B 3F EBQ;31/12/2011
OVO045656;1 B 3F EBX;31/12/2011
OVO045657;1 B 3F EBY;31/12/2011
OVO045658;1 B 3F EBZ;31/12/2011
OVO045659;1 B 3F EC;31/12/2011
OVO045660;1 B 3F ECA;31/12/2011
OVO048677;1 B 3F ECAA;31/12/2006
OVO048678;1 B 3F ECAB;28/02/2013
OVO048679;1 B 3F ECAC;28/02/2013
OVO045661;1 B 3F ECB;31/12/2011
OVO045662;1 B 3F ECC;31/12/2011
OVO045663;1 B 3F ECD;31/12/2011
OVO045664;1 B 3F ECE;31/12/2011
OVO045665;1 B 3F ECF;31/12/2011
OVO045666;1 B 3F ECG;31/12/2011
OVO049966;1 B 3F ECH;28/02/2013
OVO049967;1 B 3F ECJ;28/02/2013
OVO045667;1 B 3F ECK;31/12/2011
OVO045668;1 B 3F ECL;31/12/2011
OVO045669;1 B 3F ECM;31/12/2011
OVO045670;1 B 3F ECN;31/12/2011
OVO045671;1 B 3F ECX;31/12/2011
OVO045672;1 B 3F ECY;31/12/2011
OVO039262;1 B 3F F;31/12/2011
OVO045673;1 B 3F FA;31/12/2011
OVO045674;1 B 3F FB;31/12/2011
OVO045675;1 B 3F FC;31/12/2011
OVO045676;1 B 3F FD;31/12/2011
OVO045677;1 B 3F FE;31/12/2011
OVO045678;1 B 3F FF;31/12/2011
OVO039265;1 B 3F G;31/03/2015
OVO045679;1 B 3F GA;31/03/2015
OVO039264;1 B 3F H;15/07/2012
OVO045680;1 B 3F HA;28/02/2013
OVO045681;1 B 3F HB;28/02/2013
OVO045682;1 B 3F HC;31/03/2015
OVO039240;1 B 3F J;31/01/2014
OVO045683;1 B 3F JA;31/01/2014
OVO045684;1 B 3F JB;31/01/2014
OVO045685;1 B 3F JC;31/01/2014
OVO045686;1 B 3F JD;31/01/2014
OVO045687;1 B 3F JDA;31/01/2014
OVO045688;1 B 3F JDAA;31/01/2014
OVO045689;1 B 3F JDB;31/01/2014
OVO045690;1 B 3F JDC;28/02/2013
OVO045691;1 B 3F JDD;31/01/2014
OVO045692;1 B 3F JE;31/01/2014
OVO045693;1 B 3F KA;31/03/2015
OVO045694;1 B 3F KB;31/03/2015
OVO045695;1 B 3F KC;31/03/2015
OVO045696;1 B 3F KCA;31/03/2015
OVO045697;1 B 3F KCB;31/03/2015
OVO049222;1 B 3F KCC;31/03/2015
OVO045698;1 B 3F KD;31/03/2015
OVO045699;1 B 3F KE;31/03/2015
OVO045700;1 B 3F KF;31/03/2015
OVO045701;1 B 3F KG;31/03/2015
OVO045702;1 B 3F KH;31/03/2015
OVO045703;1 B 3F KHA;31/03/2015
OVO045704;1 B 3F KHB;31/03/2015
OVO045705;1 B 3F KHC;31/03/2015
OVO045706;1 B 3F KJ;31/03/2015
OVO045707;1 B 3F KK;31/03/2015
OVO045708;1 B 3F KL;31/03/2015
